window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,1.0,0.3,10,3,7152.0,4084
10,1.0,0.3,10,5,11920.0,4084
10,1.0,0.3,10,7,16688.0,4084
10,1.0,0.3,10,10,23840.0,4084
10,1.0,0.3,15,3,7152.0,4084
10,1.0,0.3,15,5,11920.0,4084
10,1.0,0.3,15,7,16688.0,4084
10,1.0,0.3,15,10,23840.0,4084
10,1.0,0.3,20,3,7152.0,4084
10,1.0,0.3,20,5,11920.0,4084
10,1.0,0.3,20,7,16688.0,4084
10,1.0,0.3,20,10,23840.0,4084
10,1.0,0.3,25,3,7152.0,4084
10,1.0,0.3,25,5,11920.0,4084
10,1.0,0.3,25,7,16688.0,4084
10,1.0,0.3,25,10,23840.0,4084
10,1.0,0.3,30,3,7152.0,4084
10,1.0,0.3,30,5,11920.0,4084
10,1.0,0.3,30,7,16688.0,4084
10,1.0,0.3,30,10,23840.0,4084
10,1.0,0.4,10,3,7423.5,4196
10,1.0,0.4,10,5,12372.5,4196
10,1.0,0.4,10,7,17321.5,4196
10,1.0,0.4,10,10,24745.0,4196
10,1.0,0.4,15,3,7423.5,4196
10,1.0,0.4,15,5,12372.5,4196
10,1.0,0.4,15,7,17321.5,4196
10,1.0,0.4,15,10,24745.0,4196
10,1.0,0.4,20,3,7423.5,4196
10,1.0,0.4,20,5,12372.5,4196
10,1.0,0.4,20,7,17321.5,4196
10,1.0,0.4,20,10,24745.0,4196
10,1.0,0.4,25,3,7423.5,4196
10,1.0,0.4,25,5,12372.5,4196
10,1.0,0.4,25,7,17321.5,4196
10,1.0,0.4,25,10,24745.0,4196
10,1.0,0.4,30,3,7423.5,4196
10,1.0,0.4,30,5,12372.5,4196
10,1.0,0.4,30,7,17321.5,4196
10,1.0,0.4,30,10,24745.0,4196
10,1.0,0.5,10,3,7825.5,4354
10,1.0,0.5,10,5,13042.5,4354
10,1.0,0.5,10,7,18259.5,4354
10,1.0,0.5,10,10,26085.0,4354
10,1.0,0.5,15,3,7825.5,4354
10,1.0,0.5,15,5,13042.5,4354
10,1.0,0.5,15,7,18259.5,4354
10,1.0,0.5,15,10,26085.0,4354
10,1.0,0.5,20,3,7825.5,4354
10,1.0,0.5,20,5,13042.5,4354
10,1.0,0.5,20,7,18259.5,4354
10,1.0,0.5,20,10,26085.0,4354
10,1.0,0.5,25,3,7825.5,4354
10,1.0,0.5,25,5,13042.5,4354
10,1.0,0.5,25,7,18259.5,4354
10,1.0,0.5,25,10,26085.0,4354
10,1.0,0.5,30,3,7825.5,4354
10,1.0,0.5,30,5,13042.5,4354
10,1.0,0.5,30,7,18259.5,4354
10,1.0,0.5,30,10,26085.0,4354
10,1.0,0.6,10,3,7930.5,4456
10,1.0,0.6,10,5,13217.5,4456
10,1.0,0.6,10,7,18504.5,4456
10,1.0,0.6,10,10,26435.0,4456
10,1.0,0.6,15,3,7930.5,4456
10,1.0,0.6,15,5,13217.5,4456
10,1.0,0.6,15,7,18504.5,4456
10,1.0,0.6,15,10,26435.0,4456
10,1.0,0.6,20,3,7930.5,4456
10,1.0,0.6,20,5,13217.5,4456
10,1.0,0.6,20,7,18504.5,4456
10,1.0,0.6,20,10,26435.0,4456
10,1.0,0.6,25,3,7930.5,4456
10,1.0,0.6,25,5,13217.5,4456
10,1.0,0.6,25,7,18504.5,4456
10,1.0,0.6,25,10,26435.0,4456
10,1.0,0.6,30,3,7930.5,4456
10,1.0,0.6,30,5,13217.5,4456
10,1.0,0.6,30,7,18504.5,4456
10,1.0,0.6,30,10,26435.0,4456
10,1.0,0.7,10,3,8014.5,4502
10,1.0,0.7,10,5,13357.5,4502
10,1.0,0.7,10,7,18700.5,4502
10,1.0,0.7,10,10,26715.0,4502
10,1.0,0.7,15,3,8014.5,4502
10,1.0,0.7,15,5,13357.5,4502
10,1.0,0.7,15,7,18700.5,4502
10,1.0,0.7,15,10,26715.0,4502
10,1.0,0.7,20,3,8014.5,4502
10,1.0,0.7,20,5,13357.5,4502
10,1.0,0.7,20,7,18700.5,4502
10,1.0,0.7,20,10,26715.0,4502
10,1.0,0.7,25,3,8014.5,4502
10,1.0,0.7,25,5,13357.5,4502
10,1.0,0.7,25,7,18700.5,4502
10,1.0,0.7,25,10,26715.0,4502
10,1.0,0.7,30,3,8014.5,4502
10,1.0,0.7,30,5,13357.5,4502
10,1.0,0.7,30,7,18700.5,4502
10,1.0,0.7,30,10,26715.0,4502
10,1.5,0.3,10,3,2052.0,916
10,1.5,0.3,10,5,3420.0,916
10,1.5,0.3,10,7,4788.0,916
10,1.5,0.3,10,10,6840.0,916
10,1.5,0.3,15,3,2052.0,916
10,1.5,0.3,15,5,3420.0,916
10,1.5,0.3,15,7,4788.0,916
10,1.5,0.3,15,10,6840.0,916
10,1.5,0.3,20,3,2052.0,916
10,1.5,0.3,20,5,3420.0,916
10,1.5,0.3,20,7,4788.0,916
10,1.5,0.3,20,10,6840.0,916
10,1.5,0.3,25,3,2052.0,916
10,1.5,0.3,25,5,3420.0,916
10,1.5,0.3,25,7,4788.0,916
10,1.5,0.3,25,10,6840.0,916
10,1.5,0.3,30,3,2052.0,916
10,1.5,0.3,30,5,3420.0,916
10,1.5,0.3,30,7,4788.0,916
10,1.5,0.3,30,10,6840.0,916
10,1.5,0.4,10,3,2091.0,924
10,1.5,0.4,10,5,3485.0,924
10,1.5,0.4,10,7,4879.0,924
10,1.5,0.4,10,10,6970.0,924
10,1.5,0.4,15,3,2091.0,924
10,1.5,0.4,15,5,3485.0,924
10,1.5,0.4,15,7,4879.0,924
10,1.5,0.4,15,10,6970.0,924
10,1.5,0.4,20,3,2091.0,924
10,1.5,0.4,20,5,3485.0,924
10,1.5,0.4,20,7,4879.0,924
10,1.5,0.4,20,10,6970.0,924
10,1.5,0.4,25,3,2091.0,924
10,1.5,0.4,25,5,3485.0,924
10,1.5,0.4,25,7,4879.0,924
10,1.5,0.4,25,10,6970.0,924
10,1.5,0.4,30,3,2091.0,924
10,1.5,0.4,30,5,3485.0,924
10,1.5,0.4,30,7,4879.0,924
10,1.5,0.4,30,10,6970.0,924
10,1.5,0.5,10,3,2158.5,940
10,1.5,0.5,10,5,3597.5,940
10,1.5,0.5,10,7,5036.5,940
