window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,1.0,0.3,10,3,27030.0,8311
10,1.0,0.3,10,5,45050.0,8311
10,1.0,0.3,10,7,63070.0,8311
10,1.0,0.3,10,10,90100.0,8311
10,1.0,0.3,15,3,27030.0,8311
10,1.0,0.3,15,5,45050.0,8311
10,1.0,0.3,15,7,63070.0,8311
10,1.0,0.3,15,10,90100.0,8311
10,1.0,0.3,20,3,27030.0,8311
10,1.0,0.3,20,5,45050.0,8311
10,1.0,0.3,20,7,63070.0,8311
10,1.0,0.3,20,10,90100.0,8311
10,1.0,0.3,25,3,27030.0,8311
10,1.0,0.3,25,5,45050.0,8311
10,1.0,0.3,25,7,63070.0,8311
10,1.0,0.3,25,10,90100.0,8311
10,1.0,0.3,30,3,27030.0,8311
10,1.0,0.3,30,5,45050.0,8311
10,1.0,0.3,30,7,63070.0,8311
10,1.0,0.3,30,10,90100.0,8311
10,1.0,0.4,10,3,32011.5,9901
10,1.0,0.4,10,5,53352.5,9901
10,1.0,0.4,10,7,74693.5,9901
10,1.0,0.4,10,10,106705.0,9901
10,1.0,0.4,15,3,32011.5,9901
10,1.0,0.4,15,5,53352.5,9901
10,1.0,0.4,15,7,74693.5,9901
10,1.0,0.4,15,10,106705.0,9901
10,1.0,0.4,20,3,32011.5,9901
10,1.0,0.4,20,5,53352.5,9901
10,1.0,0.4,20,7,74693.5,9901
10,1.0,0.4,20,10,106705.0,9901
10,1.0,0.4,25,3,32011.5,9901
10,1.0,0.4,25,5,53352.5,9901
10,1.0,0.4,25,7,74693.5,9901
10,1.0,0.4,25,10,106705.0,9901
10,1.0,0.4,30,3,32011.5,9901
10,1.0,0.4,30,5,53352.5,9901
10,1.0,0.4,30,7,74693.5,9901
10,1.0,0.4,30,10,106705.0,9901
10,1.0,0.5,10,3,33864.0,10501
10,1.0,0.5,10,5,56440.0,10501
10,1.0,0.5,10,7,79016.0,10501
10,1.0,0.5,10,10,112880.0,10501
10,1.0,0.5,15,3,33864.0,10501
10,1.0,0.5,15,5,56440.0,10501
10,1.0,0.5,15,7,79016.0,10501
10,1.0,0.5,15,10,112880.0,10501
10,1.0,0.5,20,3,33864.0,10501
10,1.0,0.5,20,5,56440.0,10501
10,1.0,0.5,20,7,79016.0,10501
10,1.0,0.5,20,10,112880.0,10501
10,1.0,0.5,25,3,33864.0,10501
10,1.0,0.5,25,5,56440.0,10501
10,1.0,0.5,25,7,79016.0,10501
10,1.0,0.5,25,10,112880.0,10501
10,1.0,0.5,30,3,33864.0,10501
10,1.0,0.5,30,5,56440.0,10501
10,1.0,0.5,30,7,79016.0,10501
10,1.0,0.5,30,10,112880.0,10501
10,1.0,0.6,10,3,36802.5,11390
10,1.0,0.6,10,5,61337.5,11390
10,1.0,0.6,10,7,85872.5,11390
10,1.0,0.6,10,10,122675.0,11390
10,1.0,0.6,15,3,36802.5,11390
10,1.0,0.6,15,5,61337.5,11390
10,1.0,0.6,15,7,85872.5,11390
10,1.0,0.6,15,10,122675.0,11390
10,1.0,0.6,20,3,36802.5,11390
10,1.0,0.6,20,5,61337.5,11390
10,1.0,0.6,20,7,85872.5,11390
10,1.0,0.6,20,10,122675.0,11390
10,1.0,0.6,25,3,36802.5,11390
10,1.0,0.6,25,5,61337.5,11390
10,1.0,0.6,25,7,85872.5,11390
10,1.0,0.6,25,10,122675.0,11390
10,1.0,0.6,30,3,36802.5,11390
10,1.0,0.6,30,5,61337.5,11390
10,1.0,0.6,30,7,85872.5,11390
10,1.0,0.6,30,10,122675.0,11390
10,1.0,0.7,10,3,39046.5,12058
10,1.0,0.7,10,5,65077.5,12058
10,1.0,0.7,10,7,91108.5,12058
10,1.0,0.7,10,10,130155.0,12058
10,1.0,0.7,15,3,39046.5,12058
10,1.0,0.7,15,5,65077.5,12058
10,1.0,0.7,15,7,91108.5,12058
10,1.0,0.7,15,10,130155.0,12058
10,1.0,0.7,20,3,39046.5,12058
10,1.0,0.7,20,5,65077.5,12058
10,1.0,0.7,20,7,91108.5,12058
10,1.0,0.7,20,10,130155.0,12058
10,1.0,0.7,25,3,39046.5,12058
10,1.0,0.7,25,5,65077.5,12058
10,1.0,0.7,25,7,91108.5,12058
10,1.0,0.7,25,10,130155.0,12058
10,1.0,0.7,30,3,39046.5,12058
10,1.0,0.7,30,5,65077.5,12058
10,1.0,0.7,30,7,91108.5,12058
10,1.0,0.7,30,10,130155.0,12058
10,1.5,0.3,10,3,26760.0,6657
10,1.5,0.3,10,5,44600.0,6657
10,1.5,0.3,10,7,62440.0,6657
10,1.5,0.3,10,10,89200.0,6657
10,1.5,0.3,15,3,26760.0,6657
10,1.5,0.3,15,5,44600.0,6657
10,1.5,0.3,15,7,62440.0,6657
10,1.5,0.3,15,10,89200.0,6657
10,1.5,0.3,20,3,26760.0,6657
10,1.5,0.3,20,5,44600.0,6657
10,1.5,0.3,20,7,62440.0,6657
10,1.5,0.3,20,10,89200.0,6657
10,1.5,0.3,25,3,26760.0,6657
10,1.5,0.3,25,5,44600.0,6657
10,1.5,0.3,25,7,62440.0,6657
10,1.5,0.3,25,10,89200.0,6657
10,1.5,0.3,30,3,26760.0,6657
10,1.5,0.3,30,5,44600.0,6657
10,1.5,0.3,30,7,62440.0,6657
10,1.5,0.3,30,10,89200.0,6657
10,1.5,0.4,10,3,31021.5,7805
10,1.5,0.4,10,5,51702.5,7805
10,1.5,0.4,10,7,72383.5,7805
10,1.5,0.4,10,10,103405.0,7805
10,1.5,0.4,15,3,31021.5,7805
10,1.5,0.4,15,5,51702.5,7805
10,1.5,0.4,15,7,72383.5,7805
10,1.5,0.4,15,10,103405.0,7805
10,1.5,0.4,20,3,31021.5,7805
10,1.5,0.4,20,5,51702.5,7805
10,1.5,0.4,20,7,72383.5,7805
10,1.5,0.4,20,10,103405.0,7805
10,1.5,0.4,25,3,31021.5,7805
10,1.5,0.4,25,5,51702.5,7805
10,1.5,0.4,25,7,72383.5,7805
10,1.5,0.4,25,10,103405.0,7805
10,1.5,0.4,30,3,31021.5,7805
10,1.5,0.4,30,5,51702.5,7805
10,1.5,0.4,30,7,72383.5,7805
10,1.5,0.4,30,10,103405.0,7805
10,1.5,0.5,10,3,32571.0,8219
10,1.5,0.5,10,5,54285.0,8219
10,1.5,0.5,10,7,75999.0,8219
10,1.5,0.5,10,10,108570.0,8219
10,1.5,0.5,15,3,32571.0,8219
10,1.5,0.5,15,5,54285.0,8219
10,1.5,0.5,15,7,75999.0,8219
10,1.5,0.5,15,10,108570.0,8219
10,1.5,0.5,20,3,32571.0,8219
10,1.5,0.5,20,5,54285.0,8219
10,1.5,0.5,20,7,75999.0,8219
10,1.5,0.5,20,10,108570.0,8219
10,1.5,0.5,25,3,32571.0,8219
10,1.5,0.5,25,5,54285.0,8219
10,1.5,0.5,25,7,75999.0,8219
10,1.5,0.5,25,10,108570.0,8219
10,1.5,0.5,30,3,32571.0,8219
10,1.5,0.5,30,5,54285.0,8219
10,1.5,0.5,30,7,75999.0,8219
10,1.5,0.5,30,10,108570.0,8219
10,1.5,0.6,10,3,34969.5,8846
10,1.5,0.6,10,5,58282.5,8846
10,1.5,0.6,10,7,81595.5,8846
10,1.5,0.6,10,10,116565.0,8846
10,1.5,0.6,15,3,34969.5,8846
10,1.5,0.6,15,5,58282.5,8846
10,1.5,0.6,15,7,81595.5,8846
10,1.5,0.6,15,10,116565.0,8846
10,1.5,0.6,20,3,34969.5,8846
10,1.5,0.6,20,5,58282.5,8846
10,1.5,0.6,20,7,81595.5,8846
10,1.5,0.6,20,10,116565.0,8846
10,1.5,0.6,25,3,34969.5,8846
10,1.5,0.6,25,5,58282.5,8846
