imbalance_threshold,take_profit,stop_loss,position_limit,order_size,total_pnl,total_trades
0.2,1.0,0.5,10,3,27.0,324
0.2,1.0,0.5,10,5,45.0,324
0.2,1.0,0.5,10,7,63.0,324
0.2,1.0,0.5,10,10,90.0,324
0.2,1.0,0.5,15,3,27.0,324
0.2,1.0,0.5,15,5,45.0,324
0.2,1.0,0.5,15,7,63.0,324
0.2,1.0,0.5,15,10,90.0,324
0.2,1.0,0.5,20,3,27.0,324
0.2,1.0,0.5,20,5,45.0,324
0.2,1.0,0.5,20,7,63.0,324
0.2,1.0,0.5,20,10,90.0,324
0.2,1.0,0.5,25,3,27.0,324
0.2,1.0,0.5,25,5,45.0,324
0.2,1.0,0.5,25,7,63.0,324
0.2,1.0,0.5,25,10,90.0,324
0.2,1.0,0.5,30,3,27.0,324
0.2,1.0,0.5,30,5,45.0,324
0.2,1.0,0.5,30,7,63.0,324
0.2,1.0,0.5,30,10,90.0,324
0.2,1.0,1.0,10,3,21.0,324
0.2,1.0,1.0,10,5,35.0,324
0.2,1.0,1.0,10,7,49.0,324
0.2,1.0,1.0,10,10,70.0,324
0.2,1.0,1.0,15,3,21.0,324
0.2,1.0,1.0,15,5,35.0,324
0.2,1.0,1.0,15,7,49.0,324
0.2,1.0,1.0,15,10,70.0,324
0.2,1.0,1.0,20,3,21.0,324
0.2,1.0,1.0,20,5,35.0,324
0.2,1.0,1.0,20,7,49.0,324
0.2,1.0,1.0,20,10,70.0,324
0.2,1.0,1.0,25,3,21.0,324
0.2,1.0,1.0,25,5,35.0,324
0.2,1.0,1.0,25,7,49.0,324
0.2,1.0,1.0,25,10,70.0,324
0.2,1.0,1.0,30,3,21.0,324
0.2,1.0,1.0,30,5,35.0,324
0.2,1.0,1.0,30,7,49.0,324
0.2,1.0,1.0,30,10,70.0,324
0.2,1.0,1.5,10,3,-25.5,324
0.2,1.0,1.5,10,5,-42.5,324
0.2,1.0,1.5,10,7,-59.5,324
0.2,1.0,1.5,10,10,-85.0,324
0.2,1.0,1.5,15,3,-25.5,324
0.2,1.0,1.5,15,5,-42.5,324
0.2,1.0,1.5,15,7,-59.5,324
0.2,1.0,1.5,15,10,-85.0,324
0.2,1.0,1.5,20,3,-25.5,324
0.2,1.0,1.5,20,5,-42.5,324
0.2,1.0,1.5,20,7,-59.5,324
0.2,1.0,1.5,20,10,-85.0,324
0.2,1.0,1.5,25,3,-25.5,324
0.2,1.0,1.5,25,5,-42.5,324
0.2,1.0,1.5,25,7,-59.5,324
0.2,1.0,1.5,25,10,-85.0,324
0.2,1.0,1.5,30,3,-25.5,324
0.2,1.0,1.5,30,5,-42.5,324
0.2,1.0,1.5,30,7,-59.5,324
0.2,1.0,1.5,30,10,-85.0,324
0.2,1.0,2.0,10,3,-37.5,324
0.2,1.0,2.0,10,5,-62.5,324
0.2,1.0,2.0,10,7,-87.5,324
0.2,1.0,2.0,10,10,-125.0,324
0.2,1.0,2.0,15,3,-37.5,324
0.2,1.0,2.0,15,5,-62.5,324
0.2,1.0,2.0,15,7,-87.5,324
0.2,1.0,2.0,15,10,-125.0,324
